"Var1","Var2","r","se","p"
"CapeFullC_14yr","AsqMotor_18mo","0.005","0.0073","0.00e+00"
"PeqParenC_14yr","AsqMotor_18mo","0.014","0.0073","0.00e+00"
"SbSchooC_14yr","AsqMotor_18mo","0.017","0.0076","0.00e+00"
"SclAnxieC_14yr","AsqMotor_18mo","0.013","0.0076","0.00e+00"
"SclDepreC_14yr","AsqMotor_18mo","0.002","0.0076","0.00e+00"
"SdqProsoC_14yr","AsqMotor_18mo","0.016","0.0082","0.00e+00"
"SdqProsoM_14yr","AsqMotor_18mo","0.037","0.009","0.00e+00"
"SmfqFullC_14yr","AsqMotor_18mo","-0.004","0.0082","0.00e+00"
"SmfqFullM_14yr","AsqMotor_18mo","0.056","0.0088","0.00e+00"
"SpinFullC_14yr","AsqMotor_18mo","0.01","0.0083","0.00e+00"
"SppaSociaC_14yr","AsqMotor_18mo","0.016","0.0073","0.00e+00"
"SwlsFullC_14yr","AsqMotor_18mo","-0.005","0.0073","0.00e+00"
"YptiFullC_14yr","AsqMotor_18mo","0.004","0.0073","0.00e+00"
"CbclInter_18mo","CbclExter_18mo","0.097","0.0036","0.00e+00"
"EasActiv_18mo","CbclExter_18mo","0.077","0.0036","0.00e+00"
"EasEmoti_18mo","CbclExter_18mo","0.115","0.0036","0.00e+00"
"EasShyne_18mo","CbclExter_18mo","0.013","0.0036","0.00e+00"
"EasSocia_18mo","CbclExter_18mo","0.025","0.0036","0.00e+00"
"AsqLangu_3yr","CbclExter_18mo","0.044","0.0044","0.00e+00"
"AsqMotor_3yr","CbclExter_18mo","0.02","0.0044","0.00e+00"
